id,required_action_point,required_gold,required_block_index,unlock_stage,material_id,material_count,material_2_id,material_2_count,material_3_id,material_3_count,option_id,option_ratio,option_2_id,option_2_ratio,option_3_id,option_3_ratio,option_4_id,option_4_ratio,max_option_limit
277,0,0,0,100,306040,3,306041,3,306026,3,1013,0.76,1014,0.2,1015,0.04,,,1
278,0,0,0,160,306041,3,306026,3,306028,3,1016,0.46,1017,0.37,1018,0.11,1019,0.06,1
279,0,0,0,242,306041,4,306026,4,306027,4,1020,0.58,1021,0.2,1022,0.18,1023,0.04,2
280,0,0,0,118,306040,3,306003,3,306005,3,1024,0.56,1025,0.32,1026,0.12,,,1
281,0,0,0,184,306040,3,306003,3,306004,3,1027,0.76,1028,0.12,1029,0.09,1030,0.03,1
282,0,0,0,272,306040,4,306004,4,306005,4,1031,0.71,1032,0.16,1033,0.08,1034,0.05,2
283,0,0,0,343,306040,4,306043,4,306013,4,1035,0.62,1036,0.24,1037,0.14,,,1
284,0,0,0,462,306043,4,306012,4,306014,4,1038,0.31,1039,0.24,1040,0.25,1041,0.2,1
285,0,0,0,622,306038,5,306016,5,306017,5,1042,0.5,1043,0.23,1044,0.15,1045,0.12,2
286,0,0,0,503,306035,5,306037,5,306055,5,1046,0.64,1047,0.19,1048,0.17,,,1
287,0,0,0,660,306037,5,306053,5,306054,5,1049,0.69,1050,0.15,1051,0.08,1052,0.08,1
288,0,0,0,862,306037,6,306053,6,306054,6,1053,0.5,1054,0.2,1055,0.15,1056,0.15,2
289,0,0,0,206,306040,4,306041,4,306026,4,1057,0.76,1058,0.2,1059,0.04,,,1
290,0,0,0,290,306040,4,306027,4,306028,4,1060,0.46,1061,0.37,1062,0.11,1063,0.06,1
291,0,0,0,404,306036,5,306029,5,306030,5,1064,0.58,1065,0.2,1066,0.18,1067,0.04,2
292,0,0,0,261,306040,4,306003,4,306004,4,1068,0.56,1069,0.32,1070,0.12,,,1
293,0,0,0,354,306040,4,306003,4,306004,4,1071,0.76,1072,0.12,1073,0.09,1074,0.03,1
294,0,0,0,488,306006,5,306007,5,306008,5,1075,0.71,1076,0.16,1077,0.08,1078,0.05,2
295,0,0,0,547,306035,5,306038,5,306016,5,1079,0.62,1080,0.24,1081,0.14,,,1
296,0,0,0,712,306035,5,306016,5,306017,5,1082,0.31,1083,0.24,1084,0.25,1085,0.2,1
297,0,0,0,922,306038,6,306016,6,306017,6,1086,0.5,1087,0.23,1088,0.15,1089,0.12,2
298,0,0,0,592,306035,6,306037,6,306055,6,1090,0.64,1091,0.19,1092,0.17,,,1
299,0,0,0,767,306037,6,306053,6,306054,6,1093,0.69,1094,0.15,1095,0.08,1096,0.08,1
300,0,0,0,987,306035,7,306037,7,306055,7,1097,0.5,1098,0.2,1099,0.15,1100,0.15,2
301,0,0,0,396,306035,5,306036,5,306029,5,1101,0.76,1102,0.2,1103,0.04,,,1
302,0,0,0,528,306035,5,306036,5,306030,5,1104,0.46,1105,0.37,1106,0.11,1107,0.06,1
303,0,0,0,703,306036,6,306030,6,306031,6,1108,0.58,1109,0.2,1110,0.18,1111,0.04,2
304,0,0,0,463,306035,5,306039,5,306007,5,1112,0.56,1113,0.32,1114,0.12,,,1
305,0,0,0,610,306035,5,306006,5,306008,5,1115,0.76,1116,0.12,1117,0.09,1118,0.03,1
306,0,0,0,802,306039,6,306007,6,306008,6,1119,0.71,1120,0.16,1121,0.08,1122,0.05,2
307,0,0,0,724,306035,6,306038,6,306016,6,1123,0.62,1124,0.24,1125,0.14,,,1
308,0,0,0,920,306035,6,306015,6,306016,6,1126,0.31,1127,0.24,1128,0.25,1129,0.2,1
309,0,0,0,1164,306018,7,306019,7,306020,7,1130,0.5,1131,0.23,1132,0.15,1133,0.12,2
310,0,0,0,779,306035,7,306037,7,306053,7,1134,0.64,1135,0.19,1136,0.17,,,1
311,0,0,0,985,306035,7,306037,7,306053,7,1137,0.69,1138,0.15,1139,0.08,1140,0.08,1
312,0,0,0,1237,306037,8,306053,8,306055,8,1141,0.5,1142,0.2,1143,0.15,1144,0.15,2
313,0,0,0,24,306040,1,306041,1,306023,1,1145,0.76,1146,0.2,1147,0.04,,,1
314,0,0,0,57,306041,1,306024,1,306025,1,1148,0.46,1149,0.37,1150,0.11,1151,0.06,1
315,0,0,0,113,306040,2,306023,2,306024,2,1152,0.58,1153,0.2,1154,0.18,1155,0.04,2
316,0,0,0,38,306040,1,306044,1,306000,1,1156,0.56,1157,0.32,1158,0.12,,,1
317,0,0,0,78,306040,1,306000,1,306001,1,1159,0.76,1160,0.12,1161,0.09,1162,0.03,1
318,0,0,0,138,306044,2,306000,2,306002,2,1163,0.71,1164,0.16,1165,0.08,1166,0.05,2
319,0,0,0,88,306040,2,306009,2,306010,2,1167,0.62,1168,0.24,1169,0.14,,,1
320,0,0,0,144,306040,2,306009,2,306010,2,1170,0.31,1171,0.24,1172,0.25,1173,0.2,1
321,0,0,0,222,306012,3,306013,3,306014,3,1174,0.5,1175,0.23,1176,0.15,1177,0.12,2
322,0,0,0,165,306040,3,306042,3,306051,3,1178,0.64,1179,0.19,1180,0.17,,,1
323,0,0,0,240,306040,3,306050,3,306051,3,1181,0.69,1182,0.15,1183,0.08,1184,0.08,1
324,0,0,0,338,306042,4,306050,4,306051,4,1185,0.5,1186,0.2,1187,0.15,1188,0.15,2
325,0,0,0,52,306040,2,306041,2,306024,2,1189,0.76,1190,0.2,1191,0.04,,,1
326,0,0,0,99,306040,2,306023,2,306025,2,1192,0.46,1193,0.37,1194,0.11,1195,0.06,1
327,0,0,0,166,306040,3,306041,3,306028,3,1196,0.58,1197,0.2,1198,0.18,1199,0.04,2
328,0,0,0,67,306044,2,306000,2,306001,2,1200,0.56,1201,0.32,1202,0.12,,,1
329,0,0,0,117,306044,2,306000,2,306002,2,1203,0.76,1204,0.12,1205,0.09,1206,0.03,1
330,0,0,0,190,306044,3,306003,3,306005,3,1207,0.71,1208,0.16,1209,0.08,1210,0.05,2
331,0,0,0,193,306040,3,306043,3,306013,3,1211,0.62,1212,0.24,1213,0.14,,,1
332,0,0,0,275,306043,3,306012,3,306013,3,1214,0.31,1215,0.24,1216,0.25,1217,0.2,1
333,0,0,0,383,306012,4,306013,4,306014,4,1218,0.5,1219,0.23,1220,0.15,1221,0.12,2
334,0,0,0,331,306040,4,306042,4,306052,4,1222,0.64,1223,0.19,1224,0.17,,,1
335,0,0,0,446,306050,4,306051,4,306052,4,1225,0.69,1226,0.15,1227,0.08,1228,0.08,1
336,0,0,0,602,306053,5,306054,5,306055,5,1229,0.5,1230,0.2,1231,0.15,1232,0.15,2
337,0,0,0,115,306041,3,306026,3,306027,3,1233,0.76,1234,0.2,1235,0.04,,,1
338,0,0,0,180,306040,3,306041,3,306027,3,1236,0.46,1237,0.37,1238,0.11,1239,0.06,1
339,0,0,0,267,306041,4,306027,4,306028,4,1240,0.58,1241,0.2,1242,0.18,1243,0.04,2
340,0,0,0,137,306040,3,306044,3,306003,3,1244,0.56,1245,0.32,1246,0.12,,,1
341,0,0,0,205,306044,3,306003,3,306004,3,1247,0.76,1248,0.12,1249,0.09,1250,0.03,1
342,0,0,0,297,306044,4,306003,4,306005,4,1251,0.71,1252,0.16,1253,0.08,1254,0.05,2
343,0,0,0,375,306043,4,306012,4,306014,4,1255,0.62,1256,0.24,1257,0.14,,,1
344,0,0,0,502,306043,4,306012,4,306014,4,1258,0.31,1259,0.24,1260,0.25,1261,0.2,1
345,0,0,0,672,306038,5,306015,5,306017,5,1262,0.5,1263,0.23,1264,0.15,1265,0.12,2
346,0,0,0,529,306035,5,306037,5,306053,5,1266,0.64,1267,0.19,1268,0.17,,,1
347,0,0,0,690,306035,5,306037,5,306053,5,1269,0.69,1270,0.15,1271,0.08,1272,0.08,1
348,0,0,0,898,306037,6,306053,6,306054,6,1273,0.5,1274,0.2,1275,0.15,1276,0.15,2
349,0,0,0,246,306040,4,306027,4,306028,4,1277,0.76,1278,0.2,1279,0.04,,,1
350,0,0,0,336,306041,4,306026,4,306027,4,1280,0.46,1281,0.37,1282,0.11,1283,0.06,1
351,0,0,0,464,306036,5,306030,5,306031,5,1284,0.58,1285,0.2,1286,0.18,1287,0.04,2
352,0,0,0,281,306040,4,306044,4,306003,4,1288,0.56,1289,0.32,1290,0.12,,,1
353,0,0,0,381,306040,4,306004,4,306005,4,1291,0.76,1292,0.12,1293,0.09,1294,0.03,1
354,0,0,0,521,306039,5,306006,5,306007,5,1295,0.71,1296,0.16,1297,0.08,1298,0.05,2
355,0,0,0,574,306035,5,306038,5,306015,5,1299,0.62,1300,0.24,1301,0.14,,,1
356,0,0,0,745,306038,5,306016,5,306017,5,1302,0.31,1303,0.24,1304,0.25,1305,0.2,1
357,0,0,0,961,306035,6,306015,6,306016,6,1306,0.5,1307,0.23,1308,0.15,1309,0.12,2
358,0,0,0,621,306035,6,306054,6,306055,6,1310,0.64,1311,0.19,1312,0.17,,,1
359,0,0,0,800,306035,6,306037,6,306054,6,1313,0.69,1314,0.15,1315,0.08,1316,0.08,1
360,0,0,0,1026,306037,7,306053,7,306054,7,1317,0.5,1318,0.2,1319,0.15,1320,0.15,2
361,0,0,0,431,306035,5,306030,5,306031,5,1321,0.76,1322,0.2,1323,0.04,,,1
362,0,0,0,573,306035,5,306029,5,306030,5,1324,0.46,1325,0.37,1326,0.11,1327,0.06,1
363,0,0,0,758,306036,6,306030,6,306031,6,1328,0.58,1329,0.2,1330,0.18,1331,0.04,2
364,0,0,0,487,306006,5,306007,5,306008,5,1332,0.56,1333,0.32,1334,0.12,,,1
365,0,0,0,640,306039,5,306006,5,306007,5,1335,0.76,1336,0.12,1337,0.09,1338,0.03,1
366,0,0,0,838,306035,6,306006,6,306007,6,1339,0.71,1340,0.16,1341,0.08,1342,0.05,2
367,0,0,0,735,306035,6,306038,6,306017,6,1343,0.62,1344,0.24,1345,0.14,,,1
368,0,0,0,933,306038,6,306016,6,306017,6,1346,0.31,1347,0.24,1348,0.25,1349,0.2,1
369,0,0,0,1178,306038,7,306018,7,306020,7,1350,0.5,1351,0.23,1352,0.15,1353,0.12,2
370,0,0,0,790,306035,7,306037,7,306055,7,1354,0.64,1355,0.19,1356,0.17,,,1
371,0,0,0,998,306037,7,306054,7,306055,7,1357,0.69,1358,0.15,1359,0.08,1360,0.08,1
372,0,0,0,1252,306035,8,306053,8,306054,8,1361,0.5,1362,0.2,1363,0.15,1364,0.15,2
