id,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max,grade
783,ATK,118,277,,,,,,1
784,SPD,680,1588,,,,,,2
785,SPD,680,1588,,,,,,1
786,ATK,178,416,,,,,,1
787,HIT,1203,2809,,,,,,1
788,,,,250000,,,8,16,2
789,SPD,340,794,,,,,,1
790,ATK,89,208,,,,,,1
791,CRI,4,10,,,,,,1
792,HIT,802,1872,,,,,,2
793,HIT,212,319,,,,,,1
794,ATK,47,70,,,,,,1
795,SPD,186,279,,,,,,1
796,SPD,151,227,,,,,,2
797,ATK,57,86,,,,,,1
798,HIT,390,586,,,,,,1
799,,,,250000,,,8,16,1
800,SPD,93,139,,,,,,2
801,ATK,35,53,,,,,,1
802,CRI,3,4,,,,,,1
803,HIT,319,478,,,,,,1
804,HIT,230,282,,,,,,2
805,ATK,51,62,,,,,,1
806,SPD,215,263,,,,,,1
807,SPD,175,215,,,,,,1
808,ATK,62,76,,,,,,2
809,HIT,424,518,,,,,,1
810,,,,250000,,,8,16,1
811,SPD,107,131,,,,,,1
812,ATK,38,47,,,,,,2
813,CRI,3,4,,,,,,1
814,HIT,346,423,,,,,,1
815,HIT,661,1228,,,,,,1
816,ATK,163,303,,,,,,2
817,SPD,771,1432,,,,,,1
818,SPD,771,1432,,,,,,1
819,ATK,244,454,,,,,,1
820,HIT,1488,2763,,,,,,2
821,,,,250000,,,8,16,1
822,SPD,385,716,,,,,,1
823,ATK,122,227,,,,,,1
824,CRI,6,11,,,,,,2
825,HIT,992,1842,,,,,,1
826,HIT,739,1724,,,,,,1
827,ATK,164,383,,,,,,1
828,SPD,940,2194,,,,,,2
829,SPD,767,1791,,,,,,1
830,ATK,201,469,,,,,,1
831,HIT,1357,3167,,,,,,1
832,,,,250000,,,8,16,2
833,SPD,470,1097,,,,,,1
834,ATK,123,287,,,,,,1
835,CRI,5,12,,,,,,1
836,HIT,1108,2586,,,,,,2
837,HIT,733,1100,,,,,,1
838,ATK,163,244,,,,,,1
839,SPD,641,962,,,,,,1
840,SPD,524,786,,,,,,2
841,ATK,199,299,,,,,,1
842,HIT,1347,2021,,,,,,1
843,,,,250000,,,8,16,1
844,SPD,320,481,,,,,,2
845,ATK,122,183,,,,,,1
846,CRI,5,8,,,,,,1
847,HIT,1100,1650,,,,,,1
848,HIT,864,1056,,,,,,2
849,ATK,192,234,,,,,,1
850,SPD,806,986,,,,,,1
851,SPD,658,805,,,,,,1
852,ATK,235,287,,,,,,2
853,HIT,1588,1941,,,,,,1
854,,,,250000,,,8,16,1
855,SPD,403,493,,,,,,1
856,ATK,144,176,,,,,,2
857,CRI,6,8,,,,,,1
858,HIT,1296,1585,,,,,,1
859,HIT,1765,3278,,,,,,1
860,ATK,435,809,,,,,,2
861,SPD,2059,3824,,,,,,1
862,SPD,1681,3122,,,,,,1
863,ATK,533,991,,,,,,1
864,HIT,3242,6022,,,,,,2
865,,,,250000,,,8,16,1
866,SPD,1029,1912,,,,,,1
867,ATK,326,607,,,,,,1
868,CRI,7,14,,,,,,2
869,HIT,2647,4917,,,,,,1
870,HIT,2459,5739,,,,,,1
871,ATK,546,1275,,,,,,1
872,SPD,3130,7304,,,,,,2
873,SPD,2555,5963,,,,,,1
874,ATK,669,1561,,,,,,1
875,HIT,4518,10543,,,,,,1
876,,,,250000,,,8,16,2
877,SPD,1565,3652,,,,,,1
878,ATK,409,956,,,,,,1
879,CRI,8,19,,,,,,1
880,HIT,3689,8608,,,,,,2
881,HIT,1871,2807,,,,,,1
882,ATK,415,623,,,,,,1
883,SPD,1637,2456,,,,,,1
884,SPD,1337,2006,,,,,,2
885,ATK,509,764,,,,,,1
886,HIT,3439,5158,,,,,,1
887,,,,250000,,,8,16,1
888,SPD,818,1228,,,,,,2
889,ATK,311,467,,,,,,1
890,CRI,8,13,,,,,,1
891,HIT,2807,4211,,,,,,1
892,HIT,2131,2604,,,,,,2
893,ATK,473,578,,,,,,1
894,SPD,1988,2430,,,,,,1
895,SPD,1623,1984,,,,,,1
896,ATK,579,708,,,,,,2
897,HIT,3914,4784,,,,,,1
898,,,,250000,,,8,16,1
899,SPD,994,1215,,,,,,1
900,ATK,355,434,,,,,,2
901,CRI,10,12,,,,,,1
902,HIT,3196,3906,,,,,,1
903,HIT,3624,6731,,,,,,1
904,ATK,894,1662,,,,,,2
905,SPD,4228,7853,,,,,,1
906,SPD,3452,6412,,,,,,1
907,ATK,1096,2035,,,,,,1
908,HIT,6658,12366,,,,,,2
909,,,,250000,,,8,16,1
910,SPD,2114,3926,,,,,,1
911,ATK,671,1246,,,,,,1
912,CRI,11,21,,,,,,2
913,HIT,5437,10097,,,,,,1
914,HIT,5007,11685,,,,,,1
915,ATK,1112,2596,,,,,,1
916,SPD,6373,14872,,,,,,2
917,SPD,5204,12143,,,,,,1
918,ATK,1362,3180,,,,,,1
919,HIT,9200,21467,,,,,,1
920,,,,250000,,,8,16,2
921,SPD,3186,7436,,,,,,1
922,ATK,834,1947,,,,,,1
923,CRI,12,28,,,,,,1
924,HIT,7511,17527,,,,,,2
925,HIT,35,53,,,,,,1
926,DEF,3,5,,,,,,1
927,HIT,53,80,,,,,,1
928,HIT,43,65,,,,,,2
929,DEF,4,7,,,,,,1
930,HP,182,273,,,,,,1
931,,,,240000,,,8,16,1
932,HIT,767,1151,,,,,,2
933,DEF,85,127,,,,,,1
934,HIT,1151,1727,,,,,,1
935,ATK,255,383,,,,,,1
936,HIT,42,52,,,,,,2
937,DEF,9,11,,,,,,1
938,HIT,64,78,,,,,,1
939,HIT,52,64,,,,,,1
940,DEF,11,14,,,,,,2
941,HP,288,352,,,,,,1
942,,,,240000,,,8,16,1
943,HIT,719,879,,,,,,1
944,DEF,159,195,,,,,,2
945,HIT,1079,1319,,,,,,1
946,ATK,239,293,,,,,,1
947,HIT,104,194,,,,,,1
948,DEF,23,43,,,,,,2
949,HIT,157,292,,,,,,1
950,HIT,128,238,,,,,,1
951,DEF,28,53,,,,,,1
952,HP,857,1592,,,,,,2
953,,,,240000,,,8,16,1
954,HIT,720,1337,,,,,,1
955,DEF,160,297,,,,,,1
956,HIT,1080,2006,,,,,,2
957,ATK,266,495,,,,,,1
958,HIT,279,652,,,,,,1
959,DEF,39,92,,,,,,1
960,HIT,419,978,,,,,,2
961,HIT,342,799,,,,,,1
962,DEF,48,113,,,,,,1
963,HP,1245,2906,,,,,,1
964,,,,240000,,,8,16,2
965,HIT,209,489,,,,,,1
966,DEF,29,69,,,,,,1
967,HIT,209,489,,,,,,1
968,ATK,93,217,,,,,,2
969,HIT,90,136,,,,,,1
970,DEF,10,15,,,,,,1
971,HIT,136,204,,,,,,1
972,HIT,111,166,,,,,,2
973,DEF,12,18,,,,,,1
974,HP,463,695,,,,,,1
975,,,,240000,,,8,16,1
976,HIT,68,102,,,,,,2
977,DEF,7,11,,,,,,1
978,HIT,68,102,,,,,,1
979,ATK,30,45,,,,,,1
980,HIT,99,121,,,,,,2
981,DEF,22,26,,,,,,1
982,HIT,148,181,,,,,,1
983,HIT,121,148,,,,,,1
984,DEF,26,32,,,,,,2
985,HP,667,816,,,,,,1
986,,,,240000,,,8,16,1
987,HIT,74,90,,,,,,1
988,DEF,16,20,,,,,,2
989,HIT,74,90,,,,,,1
990,ATK,33,40,,,,,,1
991,HIT,302,562,,,,,,1
992,DEF,67,125,,,,,,2
993,HIT,454,844,,,,,,1
994,HIT,371,689,,,,,,1
995,DEF,82,153,,,,,,1
996,HP,2473,4594,,,,,,2
997,,,,240000,,,8,16,1
998,HIT,227,422,,,,,,1
999,DEF,50,93,,,,,,1
1000,HIT,227,422,,,,,,2
1001,ATK,112,208,,,,,,1
1002,HIT,532,1242,,,,,,1
1003,DEF,75,175,,,,,,1
1004,HIT,799,1864,,,,,,2
1005,HIT,799,1864,,,,,,1
1006,DEF,112,263,,,,,,1
1007,HP,2905,6779,,,,,,1
1008,,,,240000,,,8,16,2
1009,HIT,399,932,,,,,,1
1010,DEF,56,131,,,,,,1
1011,HIT,399,932,,,,,,1
1012,ATK,177,414,,,,,,2
1013,HIT,240,361,,,,,,1
1014,DEF,26,40,,,,,,1
1015,HIT,361,541,,,,,,1
1016,HIT,294,442,,,,,,2
1017,DEF,32,49,,,,,,1
1018,HP,1228,1842,,,,,,1
1019,,,,240000,,,8,16,1
1020,HIT,180,270,,,,,,2
1021,DEF,20,30,,,,,,1
1022,HIT,180,270,,,,,,1
1023,ATK,80,120,,,,,,1
1024,HIT,257,314,,,,,,2
1025,DEF,57,69,,,,,,1
1026,HIT,385,471,,,,,,1
1027,HIT,314,384,,,,,,1
1028,DEF,69,85,,,,,,2
1029,HP,1732,2117,,,,,,1
1030,,,,240000,,,8,16,1
1031,HIT,192,235,,,,,,1
1032,DEF,42,52,,,,,,2
1033,HIT,192,235,,,,,,1
1034,ATK,85,104,,,,,,1
1035,HIT,650,1207,,,,,,1
1036,DEF,144,268,,,,,,2
1037,HIT,975,1811,,,,,,1
1038,HIT,975,1811,,,,,,1
1039,DEF,216,402,,,,,,1
1040,HP,6503,12077,,,,,,2
1041,,,,240000,,,8,16,1
1042,HIT,487,905,,,,,,1
1043,DEF,108,201,,,,,,1
1044,HIT,487,905,,,,,,2
1045,ATK,240,447,,,,,,1
1046,HIT,750,1751,,,,,,1
1047,DEF,106,247,,,,,,1
1048,HIT,1125,2627,,,,,,2
1049,HIT,919,2144,,,,,,1
1050,DEF,129,303,,,,,,1
1051,HP,3342,7799,,,,,,1
1052,,,,240000,,,8,16,2
1053,HIT,562,1313,,,,,,1
1054,DEF,79,185,,,,,,1
1055,HIT,562,1313,,,,,,1
1056,ATK,250,583,,,,,,2
1057,HIT,1007,1511,,,,,,1
1058,DEF,111,167,,,,,,1
1059,HIT,1511,2267,,,,,,1
1060,HIT,1234,1851,,,,,,2
1061,DEF,137,205,,,,,,1
1062,HP,5143,7715,,,,,,1
1063,,,,240000,,,8,16,1
1064,HIT,755,1133,,,,,,2
1065,DEF,83,125,,,,,,1
1066,HIT,755,1133,,,,,,1
1067,ATK,335,503,,,,,,1
1068,HIT,864,1056,,,,,,2
1069,DEF,192,234,,,,,,1
1070,HIT,1296,1585,,,,,,1
1071,HIT,1058,1294,,,,,,1
1072,DEF,235,287,,,,,,2
1073,HP,5824,7118,,,,,,1
1074,,,,240000,,,8,16,1
1075,HIT,648,792,,,,,,1
1076,DEF,144,176,,,,,,2
1077,HIT,648,792,,,,,,1
1078,ATK,288,352,,,,,,1
1079,HIT,1856,3447,,,,,,1
1080,DEF,412,766,,,,,,2
1081,HIT,2784,5170,,,,,,1
1082,HIT,2273,4222,,,,,,1
1083,DEF,505,938,,,,,,1
1084,HP,15155,28146,,,,,,2
1085,,,,240000,,,8,16,1
1086,HIT,1392,2585,,,,,,1
1087,DEF,309,574,,,,,,1
1088,HIT,1392,2585,,,,,,2
1089,ATK,687,1276,,,,,,1
1090,HIT,2576,6011,,,,,,1
1091,DEF,364,850,,,,,,1
1092,HIT,3864,9017,,,,,,2
1093,HIT,3155,7362,,,,,,1
1094,DEF,446,1041,,,,,,1
1095,HP,11474,26774,,,,,,1
1096,,,,240000,,,8,16,2
1097,HIT,1932,4508,,,,,,1
1098,DEF,273,637,,,,,,1
1099,HIT,1932,4508,,,,,,1
1100,ATK,858,2003,,,,,,2
1101,HIT,2051,3077,,,,,,1
1102,DEF,227,341,,,,,,1
1103,HIT,3077,4616,,,,,,1
1104,HIT,2513,3769,,,,,,2
1105,DEF,279,418,,,,,,1
1106,HP,10471,15707,,,,,,1
1107,,,,240000,,,8,16,1
1108,HIT,1538,2308,,,,,,2
1109,DEF,170,256,,,,,,1
1110,HIT,1538,2308,,,,,,1
1111,ATK,683,1025,,,,,,1
1112,HIT,2246,2746,,,,,,2
1113,DEF,499,610,,,,,,1
1114,HIT,3370,4119,,,,,,1
1115,HIT,2751,3363,,,,,,1
1116,DEF,611,747,,,,,,2
1117,HP,15134,18497,,,,,,1
1118,,,,240000,,,8,16,1
1119,HIT,1685,2059,,,,,,1
1120,DEF,374,457,,,,,,2
1121,HIT,1685,2059,,,,,,1
1122,ATK,748,915,,,,,,1
1123,HIT,3680,6834,,,,,,1
1124,DEF,817,1518,,,,,,2
1125,HIT,5520,10252,,,,,,1
1126,HIT,4507,8371,,,,,,1
1127,DEF,1001,1860,,,,,,1
1128,HP,30050,55807,,,,,,2
1129,,,,240000,,,8,16,1
1130,HIT,2760,5126,,,,,,1
1131,DEF,613,1139,,,,,,1
1132,HIT,2760,5126,,,,,,2
1133,ATK,1363,2531,,,,,,1
1134,HIT,5079,11851,,,,,,1
1135,DEF,718,1676,,,,,,1
1136,HIT,7619,17777,,,,,,2
1137,HIT,6220,14515,,,,,,1
1138,DEF,879,2052,,,,,,1
1139,HP,22621,52783,,,,,,1
1140,,,,240000,,,8,16,2
1141,HIT,3809,8888,,,,,,1
1142,DEF,538,1257,,,,,,1
1143,HIT,3809,8888,,,,,,1
1144,ATK,1693,3950,,,,,,2
1145,ATK,4,7,,,,,,1
1146,HIT,21,31,,,,,,1
1147,ATK,7,10,,,,,,1
1148,ATK,5,8,,,,,,2
1149,HIT,25,38,,,,,,1
1150,HIT,38,58,,,,,,1
1151,,,,110003,115,154,21,21,1
1152,DEF,42,63,,,,,,2
1153,HIT,383,575,,,,,,1
1154,ATK,127,191,,,,,,1
1155,,,,110005,6351,8468,9,9,1
1156,DEF,5,7,,,,,,2
1157,HP,95,116,,,,,,1
1158,DEF,8,10,,,,,,1
1159,DEF,7,8,,,,,,1
1160,HP,116,142,,,,,,2
1161,HP,175,214,,,,,,1
1162,,,,120005,217,290,9,9,1
1163,SPD,223,273,,,,,,1
1164,HP,1319,1613,,,,,,2
1165,DEF,119,146,,,,,,1
1166,,,,120003,4445,5927,21,21,1
1167,HP,259,482,,,,,,1
1168,DEF,12,24,,,,,,2
1169,HP,389,724,,,,,,1
1170,HP,318,591,,,,,,1
1171,DEF,15,29,,,,,,1
1172,DEF,23,44,,,,,,2
1173,,,,130005,895,1193,9,9,1
1174,ATK,101,188,,,,,,1
1175,HIT,411,764,,,,,,1
1176,HP,2743,5094,,,,,,2
1177,,,,130003,4839,6453,21,21,1
1178,SPD,129,301,,,,,,1
1179,ATK,33,79,,,,,,1
1180,SPD,193,452,,,,,,2
1181,SPD,158,369,,,,,,1
1182,ATK,41,96,,,,,,1
1183,ATK,62,145,,,,,,1
1184,,,,140005,3184,4245,9,9,2
1185,SPD,226,528,,,,,,1
1186,,,,140003,1415,1887,21,21,1
1187,,,,250000,,,8,16,1
1188,,,,140001,3640,4853,15,15,2
1189,ATK,11,16,,,,,,1
1190,HIT,50,75,,,,,,1
1191,ATK,16,25,,,,,,1
1192,ATK,13,20,,,,,,2
1193,HIT,61,92,,,,,,1
1194,HIT,92,138,,,,,,1
1195,,,,110003,277,369,21,21,1
1196,ATK,16,25,,,,,,2
1197,,,,110001,194,258,15,15,1
1198,,,,210000,,,8,16,1
1199,,,,110005,431,575,9,9,1
1200,DEF,12,15,,,,,,2
1201,HP,205,250,,,,,,1
1202,DEF,18,22,,,,,,1
1203,DEF,15,18,,,,,,1
1204,HP,251,307,,,,,,2
1205,HP,377,460,,,,,,1
1206,,,,120005,599,799,9,9,1
1207,DEF,18,22,,,,,,1
1208,,,,120001,293,391,15,15,2
1209,,,,220000,,,8,16,1
1210,,,,120003,457,609,21,21,1
1211,HP,739,1374,,,,,,1
1212,DEF,36,68,,,,,,2
1213,HP,1109,2061,,,,,,1
1214,HP,906,1683,,,,,,1
1215,DEF,45,84,,,,,,1
1216,DEF,67,126,,,,,,2
1217,,,,130005,3857,5142,9,9,1
1218,HP,1109,2061,,,,,,1
1219,,,,130001,1889,2519,15,15,1
1220,,,,240000,,,8,16,2
1221,,,,130003,2939,3919,21,21,1
1222,SPD,228,534,,,,,,1
1223,ATK,59,139,,,,,,1
1224,SPD,343,801,,,,,,2
1225,SPD,280,654,,,,,,1
1226,ATK,73,171,,,,,,1
1227,ATK,110,257,,,,,,1
1228,,,,140005,5968,7957,9,9,2
1229,SPD,631,1472,,,,,,1
1230,,,,140003,4177,5570,21,21,1
1231,,,,250000,,,8,16,1
1232,,,,140001,10742,14323,15,15,2
1233,ATK,29,44,,,,,,1
1234,HIT,134,201,,,,,,1
1235,ATK,44,67,,,,,,1
1236,ATK,36,54,,,,,,2
1237,HIT,164,246,,,,,,1
1238,HIT,246,370,,,,,,1
1239,,,,110003,1179,1572,21,21,1
1240,ATK,44,67,,,,,,2
1241,,,,110001,825,1100,15,15,1
1242,,,,210000,,,8,16,1
1243,,,,110005,1833,2445,9,9,1
1244,DEF,32,39,,,,,,2
1245,HP,532,650,,,,,,1
1246,DEF,48,59,,,,,,1
1247,DEF,39,48,,,,,,1
1248,HP,652,797,,,,,,2
1249,HP,978,1195,,,,,,1
1250,,,,120005,2223,2964,9,9,1
1251,DEF,48,59,,,,,,1
1252,,,,120001,1089,1452,15,15,2
1253,,,,220000,,,8,16,1
1254,,,,120003,1694,2259,21,21,1
1255,HP,1518,2820,,,,,,1
1256,DEF,75,141,,,,,,2
1257,HP,2277,4230,,,,,,1
1258,HP,2277,4230,,,,,,1
1259,DEF,113,211,,,,,,1
1260,DEF,170,317,,,,,,2
1261,,,,130005,9687,12916,9,9,1
1262,HP,2277,4230,,,,,,1
1263,,,,130001,3875,5166,15,15,1
1264,,,,240000,,,8,16,2
1265,,,,130003,6027,8037,21,21,1
1266,SPD,323,754,,,,,,1
1267,ATK,84,197,,,,,,1
1268,SPD,484,1131,,,,,,2
1269,SPD,395,923,,,,,,1
1270,ATK,103,241,,,,,,1
1271,ATK,155,362,,,,,,1
1272,,,,140005,8427,11237,9,9,2
1273,SPD,484,1131,,,,,,1
1274,,,,140003,3211,4281,21,21,1
1275,,,,250000,,,8,16,1
1276,,,,140001,8257,11010,15,15,2
1277,ATK,127,190,,,,,,1
1278,HIT,572,858,,,,,,1
1279,ATK,190,286,,,,,,1
1280,ATK,155,233,,,,,,2
1281,HIT,701,1051,,,,,,1
1282,HIT,1051,1577,,,,,,1
1283,,,,110003,7736,10315,21,21,1
1284,ATK,190,286,,,,,,2
1285,,,,110001,5414,7219,15,15,1
1286,,,,210000,,,8,16,1
1287,,,,110005,12032,16043,9,9,1
1288,DEF,101,123,,,,,,2
1289,HP,1673,2045,,,,,,1
1290,DEF,152,185,,,,,,1
1291,DEF,124,151,,,,,,1
1292,HP,2049,2505,,,,,,2
1293,HP,3074,3757,,,,,,1
1294,,,,120005,8073,10764,9,9,1
1295,DEF,152,185,,,,,,1
1296,,,,120001,3954,5273,15,15,2
1297,,,,220000,,,8,16,1
1298,,,,120003,6152,8202,21,21,1
1299,HP,4327,8036,,,,,,1
1300,DEF,216,401,,,,,,2
1301,HP,6491,12054,,,,,,1
1302,HP,5299,9842,,,,,,1
1303,DEF,264,492,,,,,,1
1304,DEF,397,738,,,,,,2
1305,,,,130005,33604,44805,9,9,1
1306,HP,6491,12054,,,,,,1
1307,,,,130001,16462,21950,15,15,1
1308,,,,240000,,,8,16,2
1309,,,,130003,25608,34144,21,21,1
1310,SPD,1146,2674,,,,,,1
1311,ATK,300,700,,,,,,1
1312,SPD,1719,4012,,,,,,2
1313,SPD,1403,3275,,,,,,1
1314,ATK,367,857,,,,,,1
1315,ATK,551,1286,,,,,,1
1316,,,,140005,52527,70036,9,9,2
1317,SPD,1719,4012,,,,,,1
1318,,,,140003,20014,26686,21,21,1
1319,,,,250000,,,8,16,1
1320,,,,140001,51466,68621,15,15,2
1321,ATK,247,371,,,,,,1
1322,HIT,1115,1673,,,,,,1
1323,ATK,371,557,,,,,,1
1324,ATK,303,455,,,,,,2
1325,HIT,1366,2050,,,,,,1
1326,HIT,2050,3075,,,,,,1
1327,,,,110003,17690,23586,21,21,1
1328,ATK,371,557,,,,,,2
1329,,,,110001,12380,16507,15,15,1
1330,,,,210000,,,8,16,1
1331,,,,110005,27512,36683,9,9,1
1332,DEF,262,320,,,,,,2
1333,HP,4331,5293,,,,,,1
1334,DEF,393,481,,,,,,1
1335,DEF,321,392,,,,,,1
1336,HP,5304,6483,,,,,,2
1337,HP,7956,9725,,,,,,1
1338,,,,120005,28529,38039,9,9,1
1339,DEF,393,481,,,,,,1
1340,,,,120001,13976,18635,15,15,2
1341,,,,220000,,,8,16,1
1342,,,,120003,21741,28988,21,21,1
1343,HP,8302,15418,,,,,,1
1344,DEF,415,770,,,,,,2
1345,HP,12453,23127,,,,,,1
1346,HP,10168,18883,,,,,,1
1347,DEF,508,944,,,,,,1
1348,DEF,762,1416,,,,,,2
1349,,,,130005,76074,101432,9,9,1
1350,HP,12453,23127,,,,,,1
1351,,,,130001,37268,49691,15,15,1
1352,,,,240000,,,8,16,2
1353,,,,130003,57973,77298,21,21,1
1354,SPD,2185,5098,,,,,,1
1355,ATK,572,1335,,,,,,1
1356,SPD,3277,7648,,,,,,2
1357,SPD,2676,6244,,,,,,1
1358,ATK,700,1635,,,,,,1
1359,ATK,1051,2453,,,,,,1
1360,,,,140005,100137,133516,9,9,2
1361,SPD,3277,7648,,,,,,1
1362,,,,140003,38155,50874,21,21,1
1363,,,,250000,,,8,16,1
1364,,,,140001,98114,130818,15,15,2
