id,item_sub_type,grade,level,cost,exp,required_block_index,base_stat_growth_min,base_stat_growth_max,extra_stat_growth_min,extra_stat_growth_max,extra_skill_damage_growth_min,extra_skill_damage_growth_max,extra_skill_chance_growth_min,extra_skill_chance_growth_max
349,Necklace,2,13,10240,14221312,8250,800,1200,1100,1700,1100,1700,700,1100
350,Necklace,2,14,20480,28442624,8625,800,1200,600,1000,600,1000,400,600
351,Necklace,2,15,40960,56885248,9000,800,1200,600,1000,600,1000,400,600
352,Necklace,2,16,81920,113770496,9375,800,1200,1100,1700,1100,1700,700,1100
353,Necklace,2,17,163840,227540992,9750,800,1200,600,1000,600,1000,400,600
354,Necklace,2,18,327680,455081984,10125,800,1200,600,1000,600,1000,400,600
355,Necklace,2,19,655360,910163968,10500,800,1200,1100,1700,1100,1700,700,1100
356,Necklace,2,20,1310720,1820327936,10875,800,1200,800,1200,800,1200,400,600
357,Necklace,2,21,2621440,3640655872,11250,800,1200,800,1200,800,1200,400,600
358,Necklace,3,1,0,130080,75,800,1200,0,0,0,0,0,0
359,Necklace,3,2,0,260160,187,800,1200,0,0,0,0,0,0
360,Necklace,3,3,0,520320,375,800,1200,0,0,0,0,0,0
361,Necklace,3,4,20,1040640,1875,800,1200,2500,3500,2500,3500,1200,1800
362,Necklace,3,5,40,2081280,2775,800,1200,0,0,0,0,0,0
363,Necklace,3,6,80,4162560,3900,800,1200,0,0,0,0,0,0
364,Necklace,3,7,160,8325120,7500,800,1200,2500,3500,2500,3500,1200,1800
365,Necklace,3,8,320,16650240,8925,800,1200,600,1000,600,1000,400,600
366,Necklace,3,9,640,33300480,10500,800,1200,600,1000,600,1000,400,600
367,Necklace,3,10,1280,66600960,14250,800,1200,1100,1700,1100,1700,700,1100
368,Necklace,3,11,2560,133201920,15000,800,1200,600,1000,600,1000,400,600
369,Necklace,3,12,5120,266403840,15750,800,1200,600,1000,600,1000,400,600
370,Necklace,3,13,10240,532807680,16500,800,1200,1100,1700,1100,1700,700,1100
371,Necklace,3,14,20480,1065615360,17250,800,1200,600,1000,600,1000,400,600
372,Necklace,3,15,40960,2131230720,18000,800,1200,600,1000,600,1000,400,600
373,Necklace,3,16,81920,4262461440,18750,800,1200,1100,1700,1100,1700,700,1100
374,Necklace,3,17,163840,8524922880,19500,800,1200,600,1000,600,1000,400,600
375,Necklace,3,18,327680,17049845760,20250,800,1200,600,1000,600,1000,400,600
376,Necklace,3,19,655360,34099691520,21000,800,1200,1100,1700,1100,1700,700,1100
377,Necklace,3,20,1310720,68199383040,21750,800,1200,800,1200,800,1200,400,600
378,Necklace,3,21,2621440,136398766080,22500,800,1200,800,1200,800,1200,400,600
379,Necklace,4,1,0,486000,162,800,1200,0,0,0,0,0,0
380,Necklace,4,2,0,972000,406,800,1200,0,0,0,0,0,0
381,Necklace,4,3,0,1944000,812,800,1200,0,0,0,0,0,0
382,Necklace,4,4,20,3888000,4062,800,1200,2500,3500,2500,3500,1200,1800
383,Necklace,4,5,40,7776000,6012,800,1200,0,0,0,0,0,0
384,Necklace,4,6,80,15552000,8450,800,1200,0,0,0,0,0,0
385,Necklace,4,7,160,31104000,16250,800,1200,2500,3500,2500,3500,1200,1800
386,Necklace,4,8,320,62208000,19337,800,1200,600,1000,600,1000,400,600
387,Necklace,4,9,640,124416000,22750,800,1200,600,1000,600,1000,400,600
388,Necklace,4,10,1280,248832000,30875,800,1200,1100,1700,1100,1700,700,1100
389,Necklace,4,11,2560,497664000,32500,800,1200,600,1000,600,1000,400,600
390,Necklace,4,12,5120,995328000,34125,800,1200,600,1000,600,1000,400,600
391,Necklace,4,13,10240,1990656000,35750,800,1200,1100,1700,1100,1700,700,1100
392,Necklace,4,14,20480,3981312000,37375,800,1200,600,1000,600,1000,400,600
393,Necklace,4,15,40960,7962624000,39000,800,1200,600,1000,600,1000,400,600
394,Necklace,4,16,81920,15925248000,40625,800,1200,1100,1700,1100,1700,700,1100
395,Necklace,4,17,163840,31850496000,42250,800,1200,600,1000,600,1000,400,600
396,Necklace,4,18,327680,63700992000,43875,800,1200,600,1000,600,1000,400,600
397,Necklace,4,19,655360,127401984000,45500,800,1200,1100,1700,1100,1700,700,1100
398,Necklace,4,20,1310720,254803968000,47125,800,1200,800,1200,800,1200,400,600
399,Necklace,4,21,2621440,509607936000,48750,800,1200,800,1200,800,1200,400,600
400,Necklace,5,1,0,13520000,3600,1300,1400,1200,1300,0,0,0,0
401,Necklace,5,2,0,27040000,3600,1300,1400,1200,1300,0,0,0,0
402,Necklace,5,3,0,54080000,3600,1300,1400,1200,1300,0,0,0,0
403,Necklace,5,4,20,108160000,3600,3500,3600,3500,3600,2000,2000,1500,1500
404,Necklace,5,5,40,216320000,3600,1300,1400,1200,1300,0,0,0,0
405,Necklace,5,6,80,432640000,3600,1300,1400,1200,1300,2000,2000,1500,1500
406,Necklace,5,7,160,865280000,3600,1300,1400,1200,1300,0,0,0,0
407,Necklace,5,8,320,1730560000,3600,1300,1400,1200,1300,0,0,0,0
408,Necklace,5,9,640,3461120000,3600,1300,1400,1200,1300,2000,2000,1500,1500
409,Necklace,5,10,1280,6922240000,3600,1300,1400,1200,1300,0,0,0,0
410,Necklace,5,11,2560,13844480000,3600,1300,1400,1200,1300,0,0,0,0
411,Necklace,5,12,5120,27688960000,3600,1300,1400,1200,1300,0,0,0,0
412,Necklace,5,13,10240,55377920000,3600,1300,1400,1200,1300,0,0,0,0
413,Necklace,5,14,20480,110755840000,3600,1300,1400,1200,1300,0,0,0,0
414,Necklace,5,15,40960,221511680000,3600,1300,1400,1200,1300,0,0,0,0
415,Necklace,5,16,81920,443023360000,3600,1300,1400,1200,1300,0,0,0,0
416,Necklace,5,17,163840,886046720000,3600,1300,1400,1200,1300,0,0,0,0
417,Necklace,5,18,327680,1772093440000,3600,1300,1400,1200,1300,0,0,0,0
418,Necklace,5,19,655360,3544186880000,3600,1300,1400,1200,1300,0,0,0,0
419,Necklace,5,20,1310720,7088373760000,3600,1300,1400,1200,1300,0,0,0,0
420,Necklace,5,21,2621440,14176747520000,3600,1300,1400,1200,1300,0,0,0,0
421,Ring,1,1,0,20,30,800,1200,0,0,0,0,0,0
422,Ring,1,2,0,40,75,800,1200,0,0,0,0,0,0
423,Ring,1,3,0,80,150,800,1200,0,0,0,0,0,0
424,Ring,1,4,20,160,750,800,1200,2500,3500,2500,3500,1200,1800
425,Ring,1,5,40,320,1110,800,1200,0,0,0,0,0,0
426,Ring,1,6,80,640,1560,800,1200,0,0,0,0,0,0
427,Ring,1,7,160,1280,3000,800,1200,2500,3500,2500,3500,1200,1800
428,Ring,1,8,320,2560,3570,800,1200,600,1000,600,1000,400,600
429,Ring,1,9,640,5120,4200,800,1200,600,1000,600,1000,400,600
430,Ring,1,10,1280,10240,5700,800,1200,1100,1700,1100,1700,700,1100
431,Ring,1,11,2560,20480,6000,800,1200,600,1000,600,1000,400,600
432,Ring,1,12,5120,40960,6300,800,1200,600,1000,600,1000,400,600
433,Ring,1,13,10240,81920,6600,800,1200,1100,1700,1100,1700,700,1100
434,Ring,1,14,20480,163840,6900,800,1200,600,1000,600,1000,400,600
435,Ring,1,15,40960,327680,7200,800,1200,600,1000,600,1000,400,600
436,Ring,1,16,81920,655360,7500,800,1200,1100,1700,1100,1700,700,1100
437,Ring,1,17,163840,1310720,7800,800,1200,600,1000,600,1000,400,600
438,Ring,1,18,327680,2621440,8100,800,1200,600,1000,600,1000,400,600
439,Ring,1,19,655360,5242880,8400,800,1200,1100,1700,1100,1700,700,1100
440,Ring,1,20,1310720,10485760,8700,800,1200,800,1200,800,1200,400,600
441,Ring,1,21,2621440,20971520,9000,800,1200,800,1200,800,1200,400,600
442,Ring,2,1,0,432,45,800,1200,0,0,0,0,0,0
443,Ring,2,2,0,864,112,800,1200,0,0,0,0,0,0
444,Ring,2,3,0,1728,225,800,1200,0,0,0,0,0,0
445,Ring,2,4,20,3456,1125,800,1200,2500,3500,2500,3500,1200,1800
446,Ring,2,5,40,6912,1665,800,1200,0,0,0,0,0,0
447,Ring,2,6,80,13824,2340,800,1200,0,0,0,0,0,0
448,Ring,2,7,160,27648,4500,800,1200,2500,3500,2500,3500,1200,1800
449,Ring,2,8,320,55296,5355,800,1200,600,1000,600,1000,400,600
450,Ring,2,9,640,110592,6300,800,1200,600,1000,600,1000,400,600
451,Ring,2,10,1280,221184,8550,800,1200,1100,1700,1100,1700,700,1100
452,Ring,2,11,2560,442368,9000,800,1200,600,1000,600,1000,400,600
453,Ring,2,12,5120,884736,9450,800,1200,600,1000,600,1000,400,600
454,Ring,2,13,10240,1769472,9900,800,1200,1100,1700,1100,1700,700,1100
455,Ring,2,14,20480,3538944,10350,800,1200,600,1000,600,1000,400,600
456,Ring,2,15,40960,7077888,10800,800,1200,600,1000,600,1000,400,600
457,Ring,2,16,81920,14155776,11250,800,1200,1100,1700,1100,1700,700,1100
458,Ring,2,17,163840,28311552,11700,800,1200,600,1000,600,1000,400,600
459,Ring,2,18,327680,56623104,12150,800,1200,600,1000,600,1000,400,600
460,Ring,2,19,655360,113246208,12600,800,1200,1100,1700,1100,1700,700,1100
461,Ring,2,20,1310720,226492416,13050,800,1200,800,1200,800,1200,400,600
462,Ring,2,21,2621440,452984832,13500,800,1200,800,1200,800,1200,400,600
463,Ring,3,1,0,11136,90,800,1200,0,0,0,0,0,0
464,Ring,3,2,0,22272,225,800,1200,0,0,0,0,0,0
465,Ring,3,3,0,44544,450,800,1200,0,0,0,0,0,0
466,Ring,3,4,20,89088,2250,800,1200,2500,3500,2500,3500,1200,1800
467,Ring,3,5,40,178176,3330,800,1200,0,0,0,0,0,0
468,Ring,3,6,80,356352,4680,800,1200,0,0,0,0,0,0
469,Ring,3,7,160,712704,9000,800,1200,2500,3500,2500,3500,1200,1800
470,Ring,3,8,320,1425408,10710,800,1200,600,1000,600,1000,400,600
471,Ring,3,9,640,2850816,12600,800,1200,600,1000,600,1000,400,600
472,Ring,3,10,1280,5701632,17100,800,1200,1100,1700,1100,1700,700,1100
473,Ring,3,11,2560,11403264,18000,800,1200,600,1000,600,1000,400,600
474,Ring,3,12,5120,22806528,18900,800,1200,600,1000,600,1000,400,600
475,Ring,3,13,10240,45613056,19800,800,1200,1100,1700,1100,1700,700,1100
476,Ring,3,14,20480,91226112,20700,800,1200,600,1000,600,1000,400,600
477,Ring,3,15,40960,182452224,21600,800,1200,600,1000,600,1000,400,600
478,Ring,3,16,81920,364904448,22500,800,1200,1100,1700,1100,1700,700,1100
479,Ring,3,17,163840,729808896,23400,800,1200,600,1000,600,1000,400,600
480,Ring,3,18,327680,1459617792,24300,800,1200,600,1000,600,1000,400,600
481,Ring,3,19,655360,2919235584,25200,800,1200,1100,1700,1100,1700,700,1100
482,Ring,3,20,1310720,5838471168,26100,800,1200,800,1200,800,1200,400,600
483,Ring,3,21,2621440,11676942336,27000,800,1200,800,1200,800,1200,400,600
484,Ring,4,1,0,852000,195,800,1200,0,0,0,0,0,0
485,Ring,4,2,0,1704000,487,800,1200,0,0,0,0,0,0
486,Ring,4,3,0,3408000,975,800,1200,0,0,0,0,0,0
487,Ring,4,4,20,6816000,4875,800,1200,2500,3500,2500,3500,1200,1800
488,Ring,4,5,40,13632000,7215,800,1200,0,0,0,0,0,0
489,Ring,4,6,80,27264000,10140,800,1200,0,0,0,0,0,0
490,Ring,4,7,160,54528000,19500,800,1200,2500,3500,2500,3500,1200,1800
491,Ring,4,8,320,109056000,23205,800,1200,600,1000,600,1000,400,600
492,Ring,4,9,640,218112000,27300,800,1200,600,1000,600,1000,400,600
493,Ring,4,10,1280,436224000,37050,800,1200,1100,1700,1100,1700,700,1100
494,Ring,4,11,2560,872448000,39000,800,1200,600,1000,600,1000,400,600
495,Ring,4,12,5120,1744896000,40950,800,1200,600,1000,600,1000,400,600
496,Ring,4,13,10240,3489792000,42900,800,1200,1100,1700,1100,1700,700,1100
497,Ring,4,14,20480,6979584000,44850,800,1200,600,1000,600,1000,400,600
498,Ring,4,15,40960,13959168000,46800,800,1200,600,1000,600,1000,400,600
499,Ring,4,16,81920,27918336000,48750,800,1200,1100,1700,1100,1700,700,1100
500,Ring,4,17,163840,55836672000,50700,800,1200,600,1000,600,1000,400,600
501,Ring,4,18,327680,111673344000,52650,800,1200,600,1000,600,1000,400,600
502,Ring,4,19,655360,223346688000,54600,800,1200,1100,1700,1100,1700,700,1100
503,Ring,4,20,1310720,446693376000,56550,800,1200,800,1200,800,1200,400,600
504,Ring,4,21,2621440,893386752000,58500,800,1200,800,1200,800,1200,400,600
505,Ring,5,1,0,13520000,3600,1300,1400,1200,1300,0,0,0,0
506,Ring,5,2,0,27040000,3600,1300,1400,1200,1300,0,0,0,0
507,Ring,5,3,0,54080000,3600,1300,1400,1200,1300,0,0,0,0
508,Ring,5,4,20,108160000,3600,3500,3600,3500,3600,2000,2000,1500,1500
509,Ring,5,5,40,216320000,3600,1300,1400,1200,1300,0,0,0,0
510,Ring,5,6,80,432640000,3600,1300,1400,1200,1300,2000,2000,1500,1500
511,Ring,5,7,160,865280000,3600,1300,1400,1200,1300,0,0,0,0
512,Ring,5,8,320,1730560000,3600,1300,1400,1200,1300,0,0,0,0
513,Ring,5,9,640,3461120000,3600,1300,1400,1200,1300,2000,2000,1500,1500
514,Ring,5,10,1280,6922240000,3600,1300,1400,1200,1300,0,0,0,0
515,Ring,5,11,2560,13844480000,3600,1300,1400,1200,1300,0,0,0,0
516,Ring,5,12,5120,27688960000,3600,1300,1400,1200,1300,0,0,0,0
517,Ring,5,13,10240,55377920000,3600,1300,1400,1200,1300,0,0,0,0
518,Ring,5,14,20480,110755840000,3600,1300,1400,1200,1300,0,0,0,0
519,Ring,5,15,40960,221511680000,3600,1300,1400,1200,1300,0,0,0,0
520,Ring,5,16,81920,443023360000,3600,1300,1400,1200,1300,0,0,0,0
521,Ring,5,17,163840,886046720000,3600,1300,1400,1200,1300,0,0,0,0
522,Ring,5,18,327680,1772093440000,3600,1300,1400,1200,1300,0,0,0,0
523,Ring,5,19,655360,3544186880000,3600,1300,1400,1200,1300,0,0,0,0
524,Ring,5,20,1310720,7088373760000,3600,1300,1400,1200,1300,0,0,0,0
525,Ring,5,21,2621440,14176747520000,3600,1300,1400,1200,1300,0,0,0,0
