id,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max
892,SPD,896,956,,,,,
893,DEF,422,470,,,,,
894,,,,250000,,,8,8
895,SPD,477,1195,,,,,
896,DEF,281,564,,,,,
897,SPD,716,956,,,,,
898,,,,250000,,,8,8
899,SPD,5556,10373,,,,,
900,HIT,9526,17267,,,,,
901,SPD,8891,14819,,,,,
902,,,,250000,,,8,8
903,SPD,1712,1827,,,,,
904,HP,10565,11740,,,,,
905,,,,250000,,,8,8
906,SPD,913,2283,,,,,
907,HP,7043,14088,,,,,
908,SPD,1369,1827,,,,,
909,,,,250000,,,8,8
910,SPD,10615,19816,,,,,
911,HIT,13102,23749,,,,,
912,SPD,16984,28308,,,,,
913,,,,250000,,,8,8
914,SPD,2562,2734,,,,,
915,ATK,805,895,,,,,
916,,,,250000,,,8,8
917,SPD,1366,3417,,,,,
918,ATK,536,1074,,,,,
919,SPD,2050,2734,,,,,
920,,,,250000,,,8,8
921,SPD,15889,29661,,,,,
922,HIT,18159,32915,,,,,
923,SPD,25423,42373,,,,,
924,,,,250000,,,8,8
925,HIT,24,26,,,,,
926,DEF,4,6,,,,,
927,,,,240000,,,8,8
928,HIT,12,33,,,,,
929,DEF,3,7,,,,,
930,HIT,19,26,,,,,
931,,,,240000,,,8,8
932,HIT,742,1386,,,,,
933,DEF,127,232,,,,,
934,HIT,890,1485,,,,,
935,,,,240000,,,8,8
936,HIT,26,29,,,,,
937,DEF,7,9,,,,,
938,,,,240000,,,8,8
939,HIT,14,36,,,,,
940,DEF,5,11,,,,,
941,HIT,21,29,,,,,
942,,,,240000,,,8,8
943,HIT,165,310,,,,,
944,DEF,43,79,,,,,
945,HIT,265,442,,,,,
946,,,,240000,,,8,8
947,HIT,86,93,,,,,
948,DEF,23,26,,,,,
949,,,,240000,,,8,8
950,HIT,46,116,,,,,
951,DEF,15,31,,,,,
952,HIT,69,93,,,,,
953,,,,240000,,,8,8
954,HIT,538,1005,,,,,
955,DEF,127,232,,,,,
956,HIT,860,1435,,,,,
957,,,,240000,,,8,8
958,HIT,233,249,,,,,
959,DEF,49,56,,,,,
960,,,,240000,,,8,8
961,HIT,124,311,,,,,
962,DEF,33,67,,,,,
963,HIT,186,249,,,,,
964,,,,240000,,,8,8
965,HIT,1444,2698,,,,,
966,DEF,273,497,,,,,
967,HIT,2311,3853,,,,,
968,,,,240000,,,8,8
969,HIT,58,63,,,,,
970,DEF,11,13,,,,,
971,,,,240000,,,8,8
972,HIT,31,79,,,,,
973,DEF,7,16,,,,,
974,HIT,46,63,,,,,
975,,,,240000,,,8,8
976,HIT,362,678,,,,,
977,DEF,62,114,,,,,
978,HIT,580,968,,,,,
979,,,,240000,,,8,8
980,HIT,61,67,,,,,
981,DEF,18,21,,,,,
982,,,,240000,,,8,8
983,HIT,33,83,,,,,
984,DEF,12,25,,,,,
985,HIT,49,67,,,,,
986,,,,240000,,,8,8
987,HIT,384,718,,,,,
988,DEF,100,182,,,,,
989,HIT,614,1025,,,,,
990,,,,240000,,,8,8
991,HIT,243,260,,,,,
992,DEF,64,73,,,,,
993,,,,240000,,,8,8
994,HIT,129,325,,,,,
995,DEF,43,87,,,,,
996,HIT,194,260,,,,,
997,,,,240000,,,8,8
998,HIT,1509,2818,,,,,
999,DEF,357,649,,,,,
1000,HIT,2415,4026,,,,,
1001,,,,240000,,,8,8
1002,HIT,454,485,,,,,
1003,DEF,96,108,,,,,
1004,,,,240000,,,8,8
1005,HIT,242,606,,,,,
1006,DEF,64,130,,,,,
1007,HIT,363,485,,,,,
1008,,,,240000,,,8,8
1009,HIT,2814,5255,,,,,
1010,DEF,533,968,,,,,
1011,HIT,4503,7507,,,,,
1012,,,,240000,,,8,8
1013,HIT,155,166,,,,,
1014,DEF,30,34,,,,,
1015,,,,240000,,,8,8
1016,HIT,82,207,,,,,
1017,DEF,20,41,,,,,
1018,HIT,124,166,,,,,
1019,,,,240000,,,8,8
1020,HIT,962,1796,,,,,
1021,DEF,165,301,,,,,
1022,HIT,1539,2566,,,,,
1023,,,,240000,,,8,8
1024,HIT,164,175,,,,,
1025,DEF,48,54,,,,,
1026,,,,240000,,,8,8
1027,HIT,87,219,,,,,
1028,DEF,32,65,,,,,
1029,HIT,131,175,,,,,
1030,,,,240000,,,8,8
1031,HIT,1016,1899,,,,,
1032,DEF,265,481,,,,,
1033,HIT,1627,2712,,,,,
1034,,,,240000,,,8,8
1035,HIT,522,558,,,,,
1036,DEF,139,155,,,,,
1037,,,,240000,,,8,8
1038,HIT,278,697,,,,,
1039,DEF,92,186,,,,,
1040,HIT,418,558,,,,,
1041,,,,240000,,,8,8
1042,HIT,3240,6049,,,,,
1043,DEF,768,1393,,,,,
1044,HIT,5184,8641,,,,,
1045,,,,240000,,,8,8
1046,HIT,629,672,,,,,
1047,DEF,134,150,,,,,
1048,,,,240000,,,8,8
1049,HIT,335,840,,,,,
1050,DEF,89,180,,,,,
1051,HIT,503,672,,,,,
1052,,,,240000,,,8,8
1053,HIT,3905,7290,,,,,
1054,DEF,740,1343,,,,,
1055,HIT,6248,10415,,,,,
1056,,,,240000,,,8,8
1057,HIT,904,966,,,,,
1058,SPD,691,768,,,,,
1059,,,,240000,,,8,8
1060,HIT,482,1207,,,,,
1061,SPD,460,922,,,,,
1062,HIT,723,966,,,,,
1063,,,,240000,,,8,8
1064,HIT,5610,10474,,,,,
1065,DEF,967,1754,,,,,
1066,HIT,8977,14962,,,,,
1067,,,,240000,,,8,8
1068,HIT,822,878,,,,,
1069,DEF,241,269,,,,,
1070,,,,240000,,,8,8
1071,HIT,438,1097,,,,,
1072,DEF,160,322,,,,,
1073,HIT,658,878,,,,,
1074,,,,240000,,,8,8
1075,HIT,5100,9522,,,,,
1076,DEF,1329,2411,,,,,
1077,HIT,8160,13602,,,,,
1078,,,,240000,,,8,8
1079,HIT,740,790,,,,,
1080,HP,3948,4388,,,,,
1081,,,,240000,,,8,8
1082,HIT,394,988,,,,,
1083,HP,2632,5265,,,,,
1084,HIT,592,790,,,,,
1085,,,,240000,,,8,8
1086,HIT,4590,8569,,,,,
1087,DEF,1088,1973,,,,,
1088,HIT,7344,12242,,,,,
1089,,,,240000,,,8,8
1090,HIT,822,878,,,,,
1091,ATK,241,269,,,,,
1092,,,,240000,,,8,8
1093,HIT,438,1097,,,,,
1094,ATK,160,322,,,,,
1095,HIT,658,878,,,,,
1096,,,,240000,,,8,8
1097,HIT,5100,9522,,,,,
1098,DEF,967,1754,,,,,
1099,HIT,8160,13602,,,,,
1100,,,,240000,,,8,8
1101,HIT,1703,1818,,,,,
1102,SPD,1301,1446,,,,,
1103,,,,240000,,,8,8
1104,HIT,908,2272,,,,,
1105,SPD,867,1735,,,,,
1106,HIT,1362,1818,,,,,
1107,,,,240000,,,8,8
1108,HIT,10563,19719,,,,,
1109,DEF,1821,3301,,,,,
1110,HIT,16901,28170,,,,,
1111,,,,240000,,,8,8
1112,HIT,1575,1682,,,,,
1113,DEF,462,514,,,,,
1114,,,,240000,,,8,8
1115,HIT,840,2102,,,,,
1116,DEF,308,617,,,,,
1117,HIT,1260,1682,,,,,
1118,,,,240000,,,8,8
1119,HIT,9771,18241,,,,,
1120,DEF,2547,4618,,,,,
1121,HIT,15634,26058,,,,,
1122,,,,240000,,,8,8
1123,HIT,2164,2309,,,,,
1124,HP,11542,12825,,,,,
1125,,,,240000,,,8,8
1126,HIT,1154,2886,,,,,
1127,HP,7694,15390,,,,,
1128,HIT,1731,2309,,,,,
1129,,,,240000,,,8,8
1130,HIT,13418,25048,,,,,
1131,DEF,3180,5765,,,,,
1132,HIT,21469,35783,,,,,
1133,,,,240000,,,8,8
1134,HIT,3000,3201,,,,,
1135,ATK,880,978,,,,,
1136,,,,240000,,,8,8
1137,HIT,1600,4001,,,,,
1138,ATK,586,1174,,,,,
1139,HIT,2400,3201,,,,,
1140,,,,240000,,,8,8
1141,HIT,18603,34727,,,,,
1142,DEF,3527,6395,,,,,
1143,HIT,29765,49610,,,,,
1144,,,,240000,,,8,8
1145,DEF,3,4,,,,,
1146,ATK,8,10,,,,,
1147,,,,110002,149,199,9,9
1148,DEF,1,5,,,,,
1149,ATK,5,12,,,,,
1150,DEF,3,5,,,,,
1151,,,,110005,106,142,9,9
1152,ATK,179,336,,,,,
1153,HIT,791,1436,,,,,
1154,ATK,287,480,,,,,
1155,,,,110005,5080,6774,9,9
1156,DEF,5,7,,,,,
1157,HP,142,159,,,,,
1158,,,,120002,226,302,9,9
1159,DEF,3,8,,,,,
1160,HP,94,190,,,,,
1161,DEF,5,8,,,,,
1162,,,,120005,162,216,9,9
1163,DEF,41,79,,,,,
1164,HP,671,1218,,,,,
1165,DEF,67,112,,,,,
1166,,,,120005,669,892,9,9
1167,DEF,17,20,,,,,
1168,HIT,134,150,,,,,
1169,,,,130002,1116,1488,9,9
1170,DEF,9,24,,,,,
1171,HIT,89,180,,,,,
1172,DEF,17,23,,,,,
1173,,,,130005,797,1063,9,9
1174,HP,2657,4961,,,,,
1175,DEF,141,257,,,,,
1176,HP,4251,7086,,,,,
1177,,,,130005,3296,4395,9,9
1178,DEF,38,42,,,,,
1179,SPD,339,378,,,,,
1180,,,,140002,3882,5176,9,9
1181,DEF,20,52,,,,,
1182,SPD,226,453,,,,,
1183,DEF,36,50,,,,,
1184,,,,140005,2773,3697,9,9
1185,SPD,1503,2807,,,,,
1186,ATK,420,762,,,,,
1187,SPD,2405,4010,,,,,
1188,,,,140005,11463,15285,9,9
1189,DEF,8,10,,,,,
1190,ATK,22,25,,,,,
1191,,,,110002,483,644,9,9
1192,DEF,4,12,,,,,
1193,ATK,14,30,,,,,
1194,DEF,8,12,,,,,
1195,,,,110005,345,460,9,9
1196,ATK,97,183,,,,,
1197,HIT,429,779,,,,,
1198,ATK,156,261,,,,,
1199,,,,110005,1426,1901,9,9
1200,DEF,14,16,,,,,
1201,HP,359,400,,,,,
1202,,,,120002,731,975,9,9
1203,DEF,7,20,,,,,
1204,HP,239,480,,,,,
1205,DEF,13,19,,,,,
1206,,,,120005,522,696,9,9
1207,DEF,106,198,,,,,
1208,HP,1697,3077,,,,,
1209,DEF,169,283,,,,,
1210,,,,120005,2159,2879,9,9
1211,DEF,49,53,,,,,
1212,HIT,374,417,,,,,
1213,,,,130002,4703,6270,9,9
1214,DEF,26,67,,,,,
1215,HIT,249,500,,,,,
1216,DEF,47,64,,,,,
1217,,,,130005,3359,4479,9,9
1218,HP,7373,13765,,,,,
1219,DEF,393,713,,,,,
1220,HP,11797,19664,,,,,
1221,,,,130005,13885,18514,9,9
1222,DEF,68,73,,,,,
1223,SPD,601,668,,,,,
1224,,,,140002,7277,9702,9,9
1225,DEF,36,91,,,,,
1226,SPD,400,802,,,,,
1227,DEF,65,88,,,,,
1228,,,,140005,5197,6930,9,9
1229,SPD,2662,4970,,,,,
1230,ATK,743,1348,,,,,
1231,SPD,4259,7100,,,,,
1232,,,,140005,21485,28647,9,9
1233,DEF,23,25,,,,,
1234,ATK,58,66,,,,,
1235,,,,110002,2053,2738,9,9
1236,DEF,12,32,,,,,
1237,ATK,39,79,,,,,
1238,DEF,22,30,,,,,
1239,,,,110005,1467,1956,9,9
1240,ATK,260,486,,,,,
1241,HIT,1145,2077,,,,,
1242,ATK,416,695,,,,,
1243,,,,110005,6064,8085,9,9
1244,DEF,36,40,,,,,
1245,HP,931,1036,,,,,
1246,,,,120002,2710,3614,9,9
1247,DEF,19,50,,,,,
1248,HP,621,1243,,,,,
1249,DEF,35,48,,,,,
1250,,,,120005,1936,2581,9,9
1251,DEF,275,514,,,,,
1252,HP,4401,7979,,,,,
1253,DEF,440,734,,,,,
1254,,,,120005,8004,10672,9,9
1255,DEF,101,109,,,,,
1256,HIT,768,855,,,,,
1257,,,,130002,9644,12859,9,9
1258,DEF,54,136,,,,,
1259,HIT,512,1026,,,,,
1260,DEF,97,131,,,,,
1261,,,,130005,6889,9185,9,9
1262,HP,15132,28249,,,,,
1263,DEF,807,1463,,,,,
1264,HP,24212,40355,,,,,
1265,,,,130005,28475,37967,9,9
1266,DEF,97,104,,,,,
1267,SPD,858,954,,,,,
1268,,,,140002,10390,13854,9,9
1269,DEF,51,130,,,,,
1270,SPD,572,1145,,,,,
1271,DEF,93,125,,,,,
1272,,,,140005,7422,9896,9,9
1273,SPD,3801,7097,,,,,
1274,ATK,1062,1925,,,,,
1275,SPD,6082,10138,,,,,
1276,,,,140005,30679,40905,9,9
1277,DEF,95,103,,,,,
1278,HIT,996,1107,,,,,
1279,,,,110002,11167,14890,9,9
1280,DEF,51,128,,,,,
1281,HIT,664,1329,,,,,
1282,DEF,91,123,,,,,
1283,,,,110005,7976,10635,9,9
1284,ATK,1069,1997,,,,,
1285,HIT,4705,8530,,,,,
1286,ATK,1711,2853,,,,,
1287,,,,110005,32972,43963,9,9
1288,DEF,133,143,,,,,
1289,SPD,570,634,,,,,
1290,,,,120002,11296,15062,9,9
1291,DEF,71,178,,,,,
1292,SPD,380,761,,,,,
1293,DEF,128,171,,,,,
1294,,,,120005,8069,10758,9,9
1295,DEF,992,1853,,,,,
1296,HP,15881,28785,,,,,
1297,DEF,1588,2647,,,,,
1298,,,,120005,33353,44471,9,9
1299,DEF,165,177,,,,,
1300,HP,5568,6188,,,,,
1301,,,,130002,17155,22874,9,9
1302,DEF,88,221,,,,,
1303,HP,3712,7425,,,,,
1304,DEF,159,213,,,,,
1305,,,,130005,12254,16338,9,9
1306,HP,24662,46037,,,,,
1307,DEF,1315,2385,,,,,
1308,HP,39459,65766,,,,,
1309,,,,130005,50652,67537,9,9
1310,DEF,182,195,,,,,
1311,ATK,421,469,,,,,
1312,,,,140002,21269,28359,9,9
1313,DEF,97,244,,,,,
1314,ATK,281,563,,,,,
1315,DEF,175,234,,,,,
1316,,,,140005,15192,20257,9,9
1317,SPD,7133,13316,,,,,
1318,ATK,1992,3612,,,,,
1319,SPD,11413,19022,,,,,
1320,,,,140005,62799,83732,9,9
1321,DEF,250,268,,,,,
1322,HIT,2607,2898,,,,,
1323,,,,110002,36227,48303,9,9
1324,DEF,133,335,,,,,
1325,HIT,1738,3478,,,,,
1326,DEF,240,322,,,,,
1327,,,,110005,25876,34502,9,9
1328,ATK,2800,5227,,,,,
1329,HIT,12320,22331,,,,,
1330,ATK,4480,7467,,,,,
1331,,,,110005,106962,142617,9,9
1332,DEF,351,375,,,,,
1333,SPD,1501,1669,,,,,
1334,,,,120002,36878,49170,9,9
1335,DEF,187,469,,,,,
1336,SPD,1000,2002,,,,,
1337,DEF,337,450,,,,,
1338,,,,120005,26341,35122,9,9
1339,DEF,2612,4877,,,,,
1340,HP,41797,75759,,,,,
1341,DEF,4179,6967,,,,,
1342,,,,120005,108883,145177,9,9
1343,DEF,438,468,,,,,
1344,HP,14731,16369,,,,,
1345,,,,130002,56292,75057,9,9
1346,DEF,233,585,,,,,
1347,HP,9821,19643,,,,,
1348,DEF,420,562,,,,,
1349,,,,130005,40209,53612,9,9
1350,HP,65242,121787,,,,,
1351,DEF,3479,6307,,,,,
1352,HP,104388,173981,,,,,
1353,,,,130005,166205,221606,9,9
1354,DEF,485,518,,,,,
1355,ATK,1121,1247,,,,,
1356,,,,140002,70106,93475,9,9
1357,DEF,258,648,,,,,
1358,ATK,747,1496,,,,,
1359,DEF,466,622,,,,,
1360,,,,140005,50076,66768,9,9
1361,SPD,18965,35402,,,,,
1362,ATK,5298,9603,,,,,
1363,SPD,30344,50574,,,,,
1364,,,,140005,206991,275988,9,9
1365,ATK,2,4,,,,,
1366,SPD,12,14,,,,,
1367,,,,210000,,,8,8
1368,ATK,1,4,,,,,
1369,SPD,8,17,,,,,
1370,ATK,2,4,,,,,
1371,,,,210000,,,8,8
1372,ATK,18,34,,,,,
1373,SPD,67,123,,,,,
1374,ATK,28,49,,,,,
1375,,,,210000,,,8,8
1376,ATK,8,9,,,,,
1377,SPD,34,39,,,,,
1378,,,,210000,,,8,8
1379,ATK,4,12,,,,,
1380,SPD,23,47,,,,,
1381,ATK,6,9,,,,,
1382,,,,210000,,,8,8
1383,ATK,51,96,,,,,
1384,SPD,191,347,,,,,
1385,ATK,81,137,,,,,
1386,,,,210000,,,8,8
1387,ATK,21,23,,,,,
1388,SPD,88,99,,,,,
1389,,,,210000,,,8,8
1390,ATK,11,29,,,,,
1391,SPD,59,119,,,,,
1392,ATK,16,23,,,,,
1393,,,,210000,,,8,8
1394,ATK,131,245,,,,,
1395,SPD,489,887,,,,,
1396,ATK,209,350,,,,,
1397,,,,210000,,,8,8
1398,ATK,45,49,,,,,
1399,SPD,192,214,,,,,
1400,,,,210000,,,8,8
1401,ATK,24,62,,,,,
1402,SPD,128,257,,,,,
1403,ATK,36,49,,,,,
1404,,,,210000,,,8,8
1405,ATK,284,531,,,,,
1406,SPD,1060,1923,,,,,
1407,ATK,454,758,,,,,
1408,,,,210000,,,8,8
1409,ATK,133,142,,,,,
1410,SPD,558,621,,,,,
1411,,,,210000,,,8,8
1412,ATK,70,178,,,,,
1413,SPD,372,745,,,,,
1414,ATK,106,142,,,,,
1415,,,,210000,,,8,8
1416,ATK,824,1540,,,,,
1417,SPD,3079,5582,,,,,
1418,ATK,1319,2200,,,,,
1419,,,,210000,,,8,8
1420,ATK,206,221,,,,,
1421,SPD,868,965,,,,,
1422,,,,210000,,,8,8
1423,ATK,110,276,,,,,
1424,SPD,578,1158,,,,,
1425,ATK,165,221,,,,,
1426,,,,210000,,,8,8
1427,ATK,1281,2392,,,,,
1428,SPD,4783,8671,,,,,
1429,ATK,2050,3418,,,,,
1430,,,,210000,,,8,8
1431,ATK,403,430,,,,,
1432,SPD,1693,1882,,,,,
1433,,,,210000,,,8,8
1434,ATK,214,538,,,,,
1435,SPD,1128,2258,,,,,
1436,ATK,322,430,,,,,
1437,,,,210000,,,8,8
1438,ATK,2499,4666,,,,,
1439,SPD,9331,16913,,,,,
1440,ATK,3999,6666,,,,,
1441,,,,210000,,,8,8
1442,ATK,582,622,,,,,
1443,SPD,2445,2718,,,,,
1444,,,,210000,,,8,8
1445,ATK,310,777,,,,,
1446,SPD,1630,3261,,,,,
1447,ATK,465,622,,,,,
1448,,,,210000,,,8,8
1449,ATK,3610,6740,,,,,
1450,SPD,13478,24431,,,,,
1451,ATK,5776,9628,,,,,
1452,,,,210000,,,8,8
1453,ATK,783,836,,,,,
1454,SPD,3290,3657,,,,,
1455,,,,210000,,,8,8
1456,ATK,417,1045,,,,,
1457,SPD,2193,4388,,,,,
1458,ATK,626,836,,,,,
1459,,,,210000,,,8,8
1460,ATK,4857,9068,,,,,
1461,SPD,18135,32871,,,,,
1462,ATK,7772,12954,,,,,
1463,,,,210000,,,8,8
1464,HP,48,52,,,,,
1465,DEF,3,5,,,,,
1466,,,,220000,,,8,8
1467,HP,25,65,,,,,
1468,DEF,2,6,,,,,
1469,HP,38,52,,,,,
1470,,,,220000,,,8,8
1471,HP,301,563,,,,,
1472,DEF,21,39,,,,,
1473,HP,482,804,,,,,
1474,,,,220000,,,8,8
1475,HP,143,153,,,,,
1476,DEF,11,13,,,,,
1477,,,,220000,,,8,8
1478,HP,76,192,,,,,
1479,DEF,7,16,,,,,
1480,HP,114,153,,,,,
1481,,,,220000,,,8,8
1482,HP,888,1660,,,,,
1483,DEF,63,115,,,,,
1484,HP,1422,2371,,,,,
1485,,,,220000,,,8,8
1486,HP,360,385,,,,,
1487,DEF,28,33,,,,,
1488,,,,220000,,,8,8
1489,HP,192,482,,,,,
1490,DEF,19,39,,,,,
1491,HP,288,385,,,,,
1492,,,,220000,,,8,8
1493,HP,2237,4177,,,,,
1494,DEF,159,289,,,,,
1495,HP,3579,5967,,,,,
1496,,,,220000,,,8,8
1497,HP,758,810,,,,,
1498,DEF,60,68,,,,,
1499,,,,220000,,,8,8
1500,HP,404,1012,,,,,
1501,DEF,40,81,,,,,
1502,HP,607,810,,,,,
1503,,,,220000,,,8,8
1504,HP,4705,8784,,,,,
1505,DEF,334,607,,,,,
1506,HP,7528,12548,,,,,
1507,,,,220000,,,8,8
1508,HP,1861,1986,,,,,
1509,DEF,148,166,,,,,
1510,,,,220000,,,8,8
1511,HP,992,2483,,,,,
1512,DEF,99,199,,,,,
1513,HP,1489,1986,,,,,
1514,,,,220000,,,8,8
1515,HP,11542,21546,,,,,
1516,DEF,820,1488,,,,,
1517,HP,18467,30780,,,,,
1518,,,,220000,,,8,8
1519,HP,2796,2984,,,,,
1520,DEF,223,249,,,,,
1521,,,,220000,,,8,8
1522,HP,1491,3729,,,,,
1523,DEF,149,299,,,,,
1524,HP,2237,2984,,,,,
1525,,,,220000,,,8,8
1526,HP,17339,32368,,,,,
1527,DEF,1233,2235,,,,,
1528,HP,27743,46240,,,,,
1529,,,,220000,,,8,8
1530,HP,4198,4479,,,,,
1531,DEF,335,374,,,,,
1532,,,,220000,,,8,8
1533,HP,2239,5599,,,,,
1534,DEF,223,448,,,,,
1535,HP,3358,4479,,,,,
1536,,,,220000,,,8,8
1537,HP,26032,48594,,,,,
1538,DEF,1851,3356,,,,,
1539,HP,41651,69420,,,,,
1540,,,,220000,,,8,8
1541,HP,8057,8595,,,,,
1542,DEF,644,717,,,,,
1543,,,,220000,,,8,8
1544,HP,4297,10744,,,,,
1545,DEF,429,860,,,,,
1546,HP,6446,8595,,,,,
1547,,,,220000,,,8,8
1548,HP,49960,93259,,,,,
1549,DEF,3552,6440,,,,,
1550,HP,79936,133227,,,,,
1551,,,,220000,,,8,8
1552,HP,11571,12343,,,,,
1553,DEF,925,1029,,,,,
1554,,,,220000,,,8,8
1555,HP,6171,15429,,,,,
1556,DEF,617,1235,,,,,
1557,HP,9256,12343,,,,,
1558,,,,220000,,,8,8
1559,HP,71744,133924,,,,,
1560,DEF,5101,9248,,,,,
1561,HP,114791,191319,,,,,
1562,,,,220000,,,8,8
1563,SPD,12,14,,,,,
1564,HIT,19,22,,,,,
1565,,,,250000,,,8,8
1566,SPD,6,17,,,,,
1567,HIT,12,26,,,,,
1568,SPD,9,14,,,,,
1569,,,,250000,,,8,8
1570,SPD,77,145,,,,,
1571,HIT,106,193,,,,,
1572,SPD,123,207,,,,,
1573,,,,250000,,,8,8
1574,SPD,36,40,,,,,
1575,HIT,56,64,,,,,
1576,,,,250000,,,8,8
1577,SPD,19,50,,,,,
1578,HIT,37,76,,,,,
1579,SPD,29,40,,,,,
1580,,,,250000,,,8,8
1581,SPD,228,427,,,,,
1582,HIT,313,569,,,,,
1583,SPD,365,610,,,,,
1584,,,,250000,,,8,8
1585,SPD,94,101,,,,,
1586,HIT,145,162,,,,,
1587,,,,250000,,,8,8
1588,SPD,50,126,,,,,
1589,HIT,97,195,,,,,
1590,SPD,75,101,,,,,
1591,,,,250000,,,8,8
1592,SPD,585,1093,,,,,
1593,HIT,802,1455,,,,,
1594,SPD,936,1561,,,,,
1595,,,,250000,,,8,8
1596,SPD,328,350,,,,,
1597,HIT,506,563,,,,,
1598,,,,250000,,,8,8
1599,SPD,174,438,,,,,
1600,HIT,337,675,,,,,
1601,SPD,262,350,,,,,
1602,,,,250000,,,8,8
1603,SPD,2034,3798,,,,,
1604,HIT,2790,5057,,,,,
1605,SPD,3255,5426,,,,,
1606,,,,250000,,,8,8
1607,SPD,1078,1150,,,,,
1608,HIT,1663,1849,,,,,
1609,,,,250000,,,8,8
1610,SPD,574,1438,,,,,
1611,HIT,1108,2218,,,,,
1612,SPD,862,1150,,,,,
1613,,,,250000,,,8,8
1614,SPD,6684,12478,,,,,
1615,HIT,9167,16616,,,,,
1616,SPD,10695,17826,,,,,
1617,,,,250000,,,8,8
1618,HIT,18,21,,,,,
1619,DEF,5,6,,,,,
1620,,,,240000,,,8,8
1621,HIT,10,26,,,,,
1622,DEF,3,7,,,,,
1623,HIT,15,21,,,,,
1624,,,,240000,,,8,8
1625,HIT,117,220,,,,,
1626,DEF,27,51,,,,,
1627,HIT,188,314,,,,,
1628,,,,240000,,,8,8
1629,HIT,51,56,,,,,
1630,DEF,13,16,,,,,
1631,,,,240000,,,8,8
1632,HIT,27,70,,,,,
1633,DEF,9,19,,,,,
1634,HIT,41,56,,,,,
1635,,,,240000,,,8,8
1636,HIT,320,600,,,,,
1637,DEF,76,138,,,,,
1638,HIT,513,856,,,,,
1639,,,,240000,,,8,8
1640,HIT,137,147,,,,,
1641,DEF,36,41,,,,,
1642,,,,240000,,,8,8
1643,HIT,73,184,,,,,
1644,DEF,24,49,,,,,
1645,HIT,110,147,,,,,
1646,,,,240000,,,8,8
1647,HIT,854,1595,,,,,
1648,DEF,202,368,,,,,
1649,HIT,1366,2279,,,,,
1650,,,,240000,,,8,8
1651,HIT,825,881,,,,,
1652,DEF,220,245,,,,,
1653,,,,240000,,,8,8
1654,HIT,440,1101,,,,,
1655,DEF,146,294,,,,,
1656,HIT,660,881,,,,,
1657,,,,240000,,,8,8
1658,HIT,5119,9556,,,,,
1659,DEF,1213,2200,,,,,
1660,HIT,8190,13652,,,,,
1661,,,,240000,,,8,8
1662,HIT,1521,1624,,,,,
1663,DEF,405,451,,,,,
1664,,,,240000,,,8,8
1665,HIT,811,2029,,,,,
1666,DEF,270,542,,,,,
1667,HIT,1217,1624,,,,,
1668,,,,240000,,,8,8
1669,HIT,9435,17613,,,,,
1670,DEF,2236,4054,,,,,
1671,HIT,15096,25161,,,,,
1672,,,,240000,,,8,8
1673,DEF,3,4,,,,,
1674,ATK,6,7,,,,,
1675,,,,210000,,,8,8
1676,DEF,1,5,,,,,
1677,ATK,4,9,,,,,
1678,DEF,3,5,,,,,
1679,,,,210000,,,8,8
1680,HIT,123,231,,,,,
1681,ATK,29,54,,,,,
1682,HIT,197,330,,,,,
1683,,,,210000,,,8,8
1684,DEF,10,12,,,,,
1685,ATK,17,20,,,,,
1686,,,,210000,,,8,8
1687,DEF,5,14,,,,,
1688,ATK,11,24,,,,,
1689,DEF,9,14,,,,,
1690,,,,210000,,,8,8
1691,HIT,348,650,,,,,
1692,ATK,82,150,,,,,
1693,HIT,556,929,,,,,
1694,,,,210000,,,8,8
1695,DEF,28,31,,,,,
1696,ATK,47,54,,,,,
1697,,,,210000,,,8,8
1698,DEF,15,39,,,,,
1699,ATK,31,64,,,,,
1700,DEF,27,37,,,,,
1701,,,,210000,,,8,8
1702,HIT,955,1785,,,,,
1703,ATK,226,411,,,,,
1704,HIT,1529,2550,,,,,
1705,,,,210000,,,8,8
1706,DEF,118,127,,,,,
1707,ATK,198,221,,,,,
1708,,,,210000,,,8,8
1709,DEF,63,158,,,,,
1710,ATK,132,265,,,,,
1711,DEF,113,152,,,,,
1712,,,,210000,,,8,8
1713,HIT,3960,7394,,,,,
1714,ATK,938,1702,,,,,
1715,HIT,6337,10563,,,,,
1716,,,,210000,,,8,8
1717,DEF,308,329,,,,,
1718,ATK,517,575,,,,,
1719,,,,210000,,,8,8
1720,DEF,164,411,,,,,
1721,ATK,344,690,,,,,
1722,DEF,295,395,,,,,
1723,,,,210000,,,8,8
1724,HIT,10313,19252,,,,,
1725,ATK,2444,4431,,,,,
1726,HIT,16501,27503,,,,,
1727,,,,210000,,,8,8
