id,item1,item1_ratio,item1_min,item1_max,item2,item2_ratio,item2_min,item2_max,item3,item3_ratio,item3_min,item3_max,item4,item4_ratio,item4_min,item4_max,item5,item5_ratio,item5_min,item5_max,item6,item6_ratio,item6_min,item6_max,item7,item7_ratio,item7_min,item7_max,item8,item8_ratio,item8_min,item8_max,item9,item9_ratio,item9_min,item9_max,item10,item10_ratio,item10_min,item10_max
10019,304002,0.05,1,1,304002,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10020,301000,0.05,1,1,301000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,304002,0.05,1,1,304002,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,304003,0.05,1,1,304003,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023,301000,0.05,1,1,301000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024,301000,0.05,1,1,301000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,304001,0.05,1,1,304001,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,304001,0.05,1,1,304001,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027,301000,0.05,1,1,301000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,301000,0.05,1,1,301000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029,301000,0.05,1,1,301000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030,304000,0.05,1,1,304000,0.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
